"sales","price","discount_percent","promotion_flag","competitor_price","tv_ad_spend","digital_ad_spend","social_media_spend","search_ads_spend","influencer_spend","email_marketing","seasonality_index","competition_index","economic_sentiment","website_visits","app_downloads"
48204.5,99.99,10.78,0,106.17,1016.1,304.64,468.34,650.24,434.62,274.66,0.75,0.7,87.88,11187.4,1579.83
42099.46,91.7,15.84,1,93.18,529.22,530.18,535.46,315.91,174.55,424.14,0.9,0.96,88.34,19683.18,10213.73
28812.39,105.77,5.94,0,112.02,272.3,353.18,331.53,232.92,152.06,126,1,0.97,86.74,45732.92,2996.49
47512.79,105.56,4.38,0,106.67,715.74,775.93,328.32,601.92,187.12,130.02,1.1,0.71,82.87,7824.62,2241.58
36086.05,104.84,9.31,0,115.44,458.68,444.32,370.87,250,159.39,268.2,1.3,1.09,100.5,27900.63,2051.4
44721.69,103.18,7.12,0,107.92,641.39,840.25,361.15,368.43,114.76,206.32,0.75,0.72,87.8,13042.51,10763.5
41012.38,101.53,7.22,0,93.21,463.71,679.37,455.6,297.66,201.75,136.84,0.9,1.13,104.72,6228.02,2575.54
28866.01,94.3,12.69,0,96.02,300.15,320.54,180.41,258.54,362.83,168.08,1,0.89,113.07,24475.02,1118.42
35230.26,91.58,2.14,0,90.92,558.25,359.66,257.02,232.75,221.77,228.6,1.1,0.86,94.31,9462.92,1511.97
33453.99,90.76,15.13,1,101.22,256.22,342.13,353.28,540.48,160.72,229.03,1.3,0.83,88.36,13474.53,2266.38
40102.39,87.4,10.67,0,81.3,582.52,589.38,179.44,236.97,540.3,165.66,0.75,0.95,104.1,36336.91,4624.56
22921.94,92.66,6.44,0,80.25,266.77,243.68,139.25,140.43,151.7,27.37,0.9,0.89,92.11,15806.51,2164.16
32947.37,81.62,7.29,0,86.42,286.78,565.91,94.13,363.39,163.69,202.15,1,1.13,113.9,25349.7,3626.36
32019.08,123.24,5.43,0,135.55,369.12,298.48,401.38,809.61,153.27,226.98,1.1,1.26,86.39,7244.46,393.57
50240.75,109.82,22.03,1,116.15,555.01,516.33,939.45,494.73,148.7,95.21,1.3,0.79,102.81,14654.31,3752.3
53202.5,83.02,12.64,0,94.36,977.54,361.97,365.79,1029.67,396.82,178.71,0.75,0.85,104.08,18677.2,6702.01
48945.5,90.52,2.38,0,99.23,704.83,684.89,471.54,327.3,217.93,328.34,0.9,0.91,93.57,19919.8,3459.86
36889.36,89.83,2.47,0,85.05,436.39,532.94,246.05,340.41,522.04,62.48,1,0.91,95.85,21833.9,739.87
34388.98,104.32,2.22,0,114.63,469.12,312.76,366.35,262.97,177.97,133,1.1,1,107.8,8177.3,1013.91
40175.28,94.05,6.89,0,91.52,558.63,490.69,333.15,595.39,148.78,102.65,1.3,0.68,91.12,17923.77,3337.11
48443.18,97.93,1.98,0,109.12,675.02,891.14,557.34,372.67,216.73,407.89,0.75,0.7,92.2,24199.07,1933.75
36686.2,94.68,0.32,0,104.55,385.08,522.68,305.4,716.78,93.29,307.64,0.9,0.79,94.77,6657.47,1388.48
38372.7,94.51,3.13,0,96.02,492.44,377.9,521.7,384.79,217,204.42,1,0.72,86.42,14677.76,1019.25
42702.71,111.96,10.22,0,124.38,657.51,571.87,280.06,422.97,119.53,307.52,1.1,1.1,98.1,28127.67,2818.69
37356.88,92.46,0.81,0,92.31,346.34,738.23,362.55,282.78,197.32,87.98,1.3,0.93,102.96,24605.78,787.4
33476.98,113.96,7.16,0,126.03,513.65,486.22,361.59,241.04,105.1,156.5,0.75,0.69,92.95,8417.42,2512.8
42842.66,78.89,5.06,0,66.91,766.68,636.9,181.23,256.66,128.15,134.65,0.9,0.67,88.88,12766.77,4881.62
28156.31,101.9,6.02,0,95.56,321.51,432.6,253.74,161.33,278.91,68.01,1,0.65,104.24,28564.36,3853.76
38242.67,96.42,6.59,0,99.52,534.74,563.59,374.32,338.86,173.07,87.52,1.1,1.07,96.98,16281.96,6259.28
29389.97,97.49,11.8,0,95.46,338.06,244.2,233.85,341.7,96.07,115.84,1.3,0.85,99.45,10558.18,2346.74
40837.01,99.43,0.67,0,81.92,762.94,600.48,317.12,314.97,110.75,369.46,0.75,0.88,100.85,32098.87,1509.9
43612.01,89.44,4.84,0,85.33,602.34,467.75,643.66,329.06,118.67,273.59,0.9,0.9,98.43,39205.73,2163.73
38613.99,91.28,7.65,0,105.93,435.67,606.4,445.01,317.76,262.96,236.32,1,0.65,102.49,12442.6,3153.23
34950.79,84.07,2.84,0,77.85,561.25,416.72,235.87,218.13,592.97,113.86,1.1,0.9,82.59,42762.72,5496.7
53518.89,83.53,5.41,0,86.35,742.44,764.38,521.84,564.5,299.99,254.57,1.3,0.96,81.36,28481.9,3281.22
35649.42,98.52,3.13,0,96.6,416.97,512.79,324.87,331.62,184.43,64.78,0.75,0.87,93.94,17562.94,1397.3
47028.03,100.25,7.44,0,102.4,692.59,630.15,457.32,530.72,195.94,168.35,0.9,1.07,93.15,17078.43,3435.72
32035.3,95.61,14.49,0,96.14,370.58,283.3,243.54,259.17,339.35,61.46,1,0.73,97.8,31619.31,1748.82
41938.01,106.12,2.76,0,107.07,633.48,782.01,378.38,231.52,86.31,248.08,1.1,0.73,107.42,10750.71,907.38
38445.2,121.5,15.9,1,122.72,437.92,524.03,349.27,453.41,298.32,173.08,1.3,0.85,97.08,20708.15,1209.57
38103.81,89.56,5.25,0,76.75,401.54,376.48,563.94,306.1,138.27,77.61,0.75,0.92,97.85,32872.65,5284.4
34552.82,72.01,6.61,0,73.45,350.35,248.73,590.83,288.96,377.77,52.15,0.9,0.9,109.1,22225.98,2820.5
30813.89,107.19,5.77,0,110.46,290.22,492.81,170.94,196.8,279.51,313.96,1,1.2,106.45,15833.94,1573
55110.4,87.25,13.7,0,91.98,692.72,655.19,701.07,601.01,311.67,181.39,1.1,0.7,101.9,21012.81,2949.52
33328.26,87.47,3.78,0,99.53,365.65,406.59,195.06,280.66,87.84,132.19,1.3,0.84,98.07,15061.91,2463.65
39165.42,107.44,15.14,1,109.91,636.27,484.88,171.98,475.37,154.14,102.11,0.75,0.81,110.55,9888.13,5309.25
28036.83,91.81,7.05,0,95.7,353.02,227.36,311.48,175.6,39.1,101.81,0.9,0.73,98.79,17890.83,3708.3
43951.6,82.06,4.82,0,74.66,588.94,561.66,463.29,333.73,188.45,216.19,1,0.96,124.63,26868.03,14251.86
66414.84,97.09,4.11,0,99.82,955.41,726.39,723.75,1434.61,143.08,124.67,1.1,1.01,114.71,18911.76,752.44
40237.27,93.43,12.26,0,84.15,823.58,399.34,303.71,196.35,181.92,143.46,1.3,0.73,97.71,17090.5,2076.03
69525.04,95.07,5.57,0,113.78,938.99,1307.35,900.04,334.95,331.18,276.02,0.75,0.91,94.42,18604.45,2593.16
28573.44,99.5,5.21,0,98.63,388.96,316.82,156.29,412.78,116.43,123.88,0.9,0.67,111.25,9722.39,2360.48
67858.32,90.87,5.76,0,95.33,908.25,1258.9,663.95,425.7,234.96,283.36,1,0.79,96.81,40421.55,1804.7
45944.71,102.64,8.04,0,108.45,800.12,641.9,294.84,533.38,116.22,177.21,1.1,0.78,83.55,23235.56,2727.46
77746.36,92.52,0.23,0,85,1501.07,989.46,1052.72,363.67,600.87,102.43,1.3,0.71,93.26,24202.46,4222.18
52126.23,98.86,9.46,0,104.67,935.22,461.14,513.55,546.45,353.92,217.56,0.75,1.02,121.51,48594.92,1693.26
47719.16,108.36,9.29,0,101.44,632.8,820.91,558.8,197.9,341.37,344.67,0.9,1.19,114.28,35280.05,1239.86
41580.94,100.09,7.46,0,105.91,670.41,532.59,442.74,312.47,379.06,108.56,1,0.83,91.62,29723.02,1941.39
35448.44,91.36,7.6,0,88.68,545.36,437.3,271.67,261.08,210.66,139.8,1.1,1.07,94.86,17615.54,2557.66
40847.42,109.04,6.09,0,105.33,536.93,437.09,505.65,464.91,621.5,162.46,1.3,0.85,99.53,14423.87,1168.51
40576.33,107.03,4.36,0,112.85,451.41,586.42,487.32,380.05,172.98,143.6,0.75,0.96,108.06,34018.9,2542.79
39725.6,101.46,7.74,0,106.57,533.13,596.31,370.13,431.66,318.21,121.9,0.9,1.01,99.42,7864.67,6847.24
36421.17,97.76,1.93,0,97.75,431.06,574.45,288.96,234.85,316.68,129.84,1,0.74,106.83,26815.98,9311.55
64873.27,88.1,6.26,0,84.73,1063.18,938.14,668.32,609.93,466.45,382.43,1.1,0.91,99.03,30613.67,1032.92
47263.71,111.85,39.71,1,115.87,634.67,328.11,924.58,446.64,140.78,202.12,1.3,1.13,105.12,24597.07,3745.9
26779.92,88.4,16.96,1,89.81,327.08,247.14,209.53,263.23,85.9,208.69,0.75,1.27,105.82,36177.35,6437.97
45166.98,123.51,9.49,0,136.04,735.79,695.22,306.31,469.6,505.02,194.89,0.9,0.67,105.35,5430.97,1779.9
23287.41,114.18,2.67,0,110.72,194.06,297.31,217.57,299.97,102.61,67.43,1,0.76,106.6,7207.87,2010.65
32302.53,92.35,5.98,0,93.27,476.49,375.24,326.67,249.72,158.95,150.67,1.1,0.71,98.59,13179.13,2999.36
30048.92,83.99,2.12,0,102.74,298.59,487.92,219.6,319.3,99.53,88.86,1.3,0.85,84.62,13318.99,3351.36
51793.17,87.24,4.54,0,80.3,567.52,613.1,710.78,606.26,367.46,225.41,0.75,0.69,107.63,22350.51,888.25
39231.05,97.97,3.14,0,102.5,480.09,545.27,498.9,322.62,501.26,95.23,0.9,0.78,105.27,6164.91,7589.45
31540.17,92.23,8.96,0,97.22,354.57,390.47,299.1,237.15,309.03,160.11,1,0.92,90.57,117834.73,3463.5
51858.57,91.12,1.92,0,89.66,663.57,692.66,659.85,560.34,469.01,254.38,1.1,1.39,101.69,23759.51,2379.07
39671.91,84.75,6.28,0,81.67,720.06,385.46,314.65,509.45,107.23,106.88,1.3,1.04,100.32,16554.44,2252.07
54430.55,94.49,3.81,0,85.77,1109.49,583.77,485.62,346.26,489.2,116.78,0.75,0.67,100.31,16610.32,1424.6
58411.76,86.46,6.57,0,78.73,776.06,841.59,888.15,449.23,398.99,235.74,0.9,0.79,102.01,19583.17,3287.63
31002.57,77.77,3.16,0,77.67,407.02,249.36,345.11,307.44,355.65,95.34,1,0.89,103.89,8724.79,2720.54
41516.33,90.76,4.43,0,102.34,854.39,397.45,188.72,386.18,135.52,86.86,1.1,0.88,92.72,22222.73,9004.47
24080.69,106.08,5.77,0,108.66,238.43,280.55,188.93,169.31,50.55,51.53,1.3,0.81,110.32,13510.79,2395.38
35188,88.66,4.63,0,102.34,469.88,678.63,157.69,222.34,159.34,104.5,0.75,1.18,96.75,12414.77,2313.3
48665.27,102.19,11.19,0,99.33,911.23,696.47,245.38,327.45,233.63,335.34,0.9,1.01,101.34,23359.82,3402
36283.29,78.24,5.3,0,83.58,481.01,293.53,422.29,642.85,371.72,163.93,1,0.69,90.08,10092.41,1010.65
50631.8,94.37,7.47,0,97.22,680.13,662.21,645.27,377.76,214.65,173.32,1.1,0.73,87.22,11407.04,15611.67
36322.71,101.11,12.54,0,106.17,544.81,479.99,360.81,184.15,199.08,83.81,1.3,0.9,102.05,26668.97,1888.34
52493.16,98.5,8.37,0,102.13,817.85,745.65,470.86,381.99,160.67,309.45,0.75,0.79,87.93,15581.93,1757.53
30148.14,96.21,11.98,0,104.44,294.22,302.49,202.49,463.33,197.18,117.96,0.9,0.97,88.38,13706.04,618.43
26284.34,87.97,3.7,0,89.67,343.07,249.67,211.42,126.46,299.33,47.43,1,0.65,86.25,18443.49,2007.83
32504.81,85.79,12.01,0,94.56,472.38,284.41,403.92,84.46,135.57,88.15,1.1,0.89,99.28,10766.68,1572.1
40843.24,84.01,8.53,0,89.12,617.22,477.23,314.64,293.73,193.43,322.75,1.3,0.82,99.91,25435.86,2223.88
34634.61,96.35,10.85,0,98.2,420.68,364.82,331.12,299.77,260.01,241.68,0.75,0.76,101.46,9617.17,6747.33
38842.98,84.79,3.28,0,85.71,464.85,666.61,258.26,469.29,174.75,217.92,0.9,0.65,98.51,16843.7,651.46
38535.22,89.57,11.95,0,82.49,473.06,512.75,413.02,177.6,200.22,218.5,1,0.85,79.23,23553.42,3268.16
50387.99,92.12,3.38,0,89.22,813.61,692.91,498.57,264.33,177.29,232.73,1.1,0.71,100.5,14210.75,3214.34
65685.46,118.53,9.72,0,118.38,1112.51,664.62,921.1,552.67,296.13,307.85,1.3,0.76,113.29,32062.47,1381.35
24294.47,87.85,4.42,0,96.57,229.57,346.17,141.62,237.4,257.61,53.96,0.75,0.89,106.92,24741.04,1798.57
42767.03,97.72,4.4,0,106.19,679.88,506.85,310.94,502.74,190.99,369.37,0.9,0.85,93.32,11416.25,5041.2
34682.17,95.89,4.86,0,91.7,446.44,490.41,401.7,129.36,238.28,175.25,1,0.71,93.44,14021.6,1738.53
52004.73,84.64,13.57,0,83.11,867.84,651.25,404.66,475.28,169.18,177.73,1.1,1,110.87,56391.05,880.09
47321.88,94.19,5.06,0,110.4,671.88,513.34,512.53,447.07,432.14,163.84,1.3,0.68,87.27,43214.48,1606.74
46980.51,112.98,1.1,0,102.93,647.77,657.11,763.67,317.23,222.38,242.55,0.75,0.79,117.53,63658.92,4520.02
22948.05,100.29,9.95,0,103.77,193.52,207.76,299.63,120.22,54.34,72.9,0.9,0.77,87.27,65106.89,869.15
41833.1,95.47,22.39,1,99.57,435.96,708.04,169.43,465.48,198.99,57.13,1,0.82,94.97,30201.04,1551.51
61394.69,90.3,3.94,0,88.49,612.8,1318.5,992.14,392.55,221.3,221.41,1.1,0.82,87.84,15178.36,3690.54
30225.68,74.25,6.49,0,67.86,375.49,281.14,159.7,422.72,159.9,130.4,1.3,0.97,84.29,5037.75,3381.89
30254.87,108.81,8.82,0,107.55,227.73,353.17,361.09,370.65,138.83,77.15,0.75,0.8,98.09,22234.36,5854.86
40945.53,79.73,9.25,0,100.83,504.43,457.85,470.56,271.31,568.1,79.8,0.9,0.75,102.42,8351.37,3065.47
34115.18,103.82,3.8,0,104.97,710.08,340.26,156.4,157.82,204.72,140.79,1,1.01,89.89,15759.05,1726.6
49792.61,119.46,3.55,0,119.69,898.32,666.74,416.61,172.37,476.42,423.57,1.1,0.7,119.1,12663.76,1933.51
39353.88,79.89,1.92,0,82.66,553.14,427.1,397.34,356.8,308.56,51.88,1.3,0.7,118.49,9746.66,1362.12
31893.95,103.35,6.53,0,96,441.1,360.74,186.5,260.9,194.93,107.56,0.75,0.87,95.15,32716.72,742.81
25309.29,92.06,8.06,0,99.71,263.94,267.78,200.25,416.45,120.89,31.8,0.9,0.84,103.38,14523.41,2177.16
43899.08,78.67,3.49,0,84.99,396.32,603.59,269.98,753.08,106.19,209.23,1,0.82,109.97,10532.46,1820.45
55014.59,79.21,17.1,1,78.58,738.22,657.51,848.72,258.13,339.05,64.76,1.1,0.85,87.84,12956.32,1527.52
28693.25,78.39,2.2,0,80.34,387.03,215.27,273.44,197.65,201.99,123.26,1.3,0.91,107.71,15171.91,2438.01
70721.36,89.14,7.12,0,87.32,1024.57,1169.13,978.84,485.07,225.1,308.2,0.75,0.94,91.65,22802.92,2388.44
30367.79,79.72,0.56,0,85.92,307.22,335.98,198.91,566.99,90.61,102.68,0.9,0.8,83.64,11373.13,7397.55
53785.62,103.18,11.49,0,92.16,534.82,713.86,994.03,716.91,355.28,285.07,1,0.71,103.59,19083.66,6249.63
32879.48,122.23,9.26,0,122.48,366.13,394.94,285.28,299.07,306.87,290.49,1.1,1.18,109.34,17122.75,1924.53
29750.56,81.4,12.71,0,87.28,366.11,290.44,347.5,161.25,113.88,149.11,1.3,0.79,116.32,14490.15,2574.73
31542.66,104.42,4.1,0,121.9,326.86,389.44,237.85,388.36,120.34,192.35,0.75,0.74,109.17,13044.94,3066.61
37471.57,104.18,5.04,0,98.82,492.81,696.08,273.83,262.33,223.89,139.02,0.9,0.76,117.8,7542.37,2480.35
36609.06,98.86,1.96,0,92.21,365.68,510.51,561.22,398.95,377.78,253.83,1,0.7,71.07,15597.72,5201.39
35612.45,84.17,2.87,0,85.12,458.01,499.83,294.66,526.96,191.58,86.22,1.1,0.97,115.33,17982.19,2233.68
45920.49,93.65,7.05,0,95.08,730.93,481.84,370.26,480.77,347.43,332.77,1.3,0.62,111.62,24673.85,7309.26
47021.21,91.86,4.53,0,99.55,710.41,656.2,387.27,292.78,252.7,164.02,0.75,0.82,95.65,12072.24,2199.21
30149.34,101.64,8.36,0,102.73,281.99,385.93,258.94,288.04,372.92,290.2,0.9,0.96,108.25,13176.17,709.11
49377.36,90.85,19.35,1,88.51,786.64,531.41,450.43,327.32,100.71,214.11,1,0.74,98.28,13674.6,1525.2
23693.04,106.82,12.88,0,126.74,250.31,156.72,392.1,202.14,150.62,95.32,1.1,0.97,99.58,6811.71,5951.65
37805.02,90.82,9.95,0,90.23,595.66,504.57,248,367.84,238.46,204.71,1.3,0.75,107.51,16261.85,1760.35
72927.93,107.79,2.08,0,117.98,1376.57,974.2,427.88,913.41,658.07,582.33,0.75,0.92,94.6,24024.22,3920.07
33676.07,83.76,8.33,0,90.68,372.15,369.12,342.78,276.64,217.08,73.01,0.9,0.85,106.22,6278.78,1071.93
32787.64,81.67,9.12,0,80.42,324.05,494.32,337.58,297.03,94.25,295.78,1,0.65,88.64,29725.93,4435.58
47408.98,140.16,7.99,0,163.3,854.19,637.9,493.48,344.75,199.7,204.52,1.1,0.98,109.99,64969.16,1037.65
47478.29,90.36,2.58,0,84.03,496.36,915.71,351.54,773.1,221.87,251.39,1.3,0.97,117.57,16655.66,4468.46
51576.77,98.46,2.09,0,93.17,741.75,658.21,654.79,538.59,268.57,98.88,0.75,0.75,100.76,10407.09,8317.81
46127.46,102.54,5.16,0,114.83,484.48,559.52,566.03,757.22,384.58,161.35,0.9,1.06,100.73,23254.23,2540.68
39230.22,89.64,4.45,0,80.72,617.54,435.81,317.61,423.13,361.14,150.1,1,0.68,92.82,9415.59,4659.52
50358.07,101.08,4.7,0,108.49,760.47,689.65,310.49,491.62,218.53,318.4,1.1,0.93,112.1,40412.63,3870.06
35451.6,99.3,13.25,0,102.9,483.23,410.61,319.32,375.95,98.2,87.48,1.3,0.85,89.34,13894.57,1478.31
40866.69,92.58,17.89,1,100.18,507.63,553.72,302.92,324.02,416.72,268.91,0.75,0.74,99.47,21151.46,1134.81
40840.65,95.75,12.28,0,103.96,570.61,417.71,434.19,262.14,486.68,265.84,0.9,1.06,98.18,22375.28,8930.31
60475.02,94.61,15.16,1,91.5,941.99,647.99,773.88,689.58,394.07,169.22,1,1.23,109.03,39751.48,2001.45
46361.03,122.64,3.45,0,118.43,666.51,610.01,561.52,512.53,201.62,496.43,1.1,0.77,96.53,34040.57,1522.91
52101.56,86.91,9.58,0,94.62,841.5,655.65,528.58,615,264.19,123.13,1.3,0.8,100.69,10579.9,5206.65
34182.38,83.29,9.64,0,91.22,421.85,390.65,343.68,315.67,240.67,68.64,0.75,0.82,88.39,12635.95,2957.77
34074.45,95.43,12.79,0,89.04,390.55,467.07,211.95,174.52,189.58,383.27,0.9,0.79,98.53,5372.13,1378.17
27791.35,98.61,2.52,0,91.14,323.64,403.57,159.83,167.2,501.63,65.4,1,0.62,93.09,40710.66,1312.37
25854.48,100.11,6.36,0,93.7,315.74,501.08,182.92,108.86,135.91,79.31,1.1,0.8,95.89,15637.75,859.28
26995.22,89.92,7.06,0,91.61,260.85,289.47,258.12,110.97,134.18,59.51,1.3,1.32,97.68,19164.89,4717.66
29837.87,83.62,5.13,0,85.15,318.9,390.41,334.09,222.02,101.91,114.96,0.75,0.87,108.56,20150.59,952.68
34029.96,110.55,0.9,0,135.84,564.43,258.83,269.29,348.96,205.15,108.98,0.9,0.95,105.6,41040.95,1041.33
62237.49,91.1,2.8,0,97,861.19,954.94,556.43,667.72,310.51,359.41,1,0.62,97.25,15264.96,5626.1
26130.97,85.63,3.62,0,86.29,258.71,198.38,312.77,261.65,210.11,86.34,1.1,0.79,86.9,14662.46,2584.73
49044.87,92.34,15.42,1,90.3,600.77,704.5,661.9,297,176.87,157.61,1.3,1.02,100.13,8043.93,1587.98
36204.14,92.78,3.98,0,90.67,330.32,719.19,321.66,240.38,85.49,123.07,0.75,0.8,107.23,21765.09,3009.99
47487.94,108.53,13.71,0,105.35,1007.28,428.25,401.1,201.99,215.31,188.83,0.9,1.05,103.35,18271.48,1998.59
48585.22,95.97,4.2,0,89.69,743.24,451.66,769.63,631.65,177.35,186.06,1,0.82,110.52,20840.05,1394.33
31930.29,104,10.42,0,107.57,346.74,433.06,220.02,338.71,192.58,155.33,1.1,0.9,101.85,5718.31,3137.35
38491.97,89.48,27.24,1,70.71,625.23,409.53,346.61,183.69,196.9,135.45,1.3,0.66,96.08,35597.91,6414.14
35784.01,97.48,6.73,0,90.55,483.45,555.19,255.25,275.08,202.45,197.21,0.75,0.74,102.38,9755.81,7828.4
25408.11,91.37,4.69,0,100.89,298.7,396.26,169.99,132.21,263.52,102.22,0.9,1.1,86.19,6929.79,1668.17
32285.28,96.08,10.67,0,99.18,366.97,466.3,246.42,532.45,284.94,236.69,1,1.02,84.48,22268.39,3466.31
35747.95,85.32,2.19,0,90.98,435.63,308.73,392.8,250.16,136.56,188.2,1.1,0.82,104.45,11542.95,1678.46
38267.74,81.17,0.75,0,78.98,465.18,522.62,330.95,151.49,155.81,73.92,1.3,1.06,110.51,46150.77,1351.99
25848.74,120.73,8.73,0,137.84,379.97,257.46,183.03,280.31,124.22,59.35,0.75,1.25,90.66,14746.08,871.42
35391.1,102.1,10.74,0,101.69,359.87,611.81,280.09,292.52,397.04,71.17,0.9,0.85,107.68,9658.94,3667.53
45591.92,81.75,7.76,0,87.4,570.8,585.04,440.24,340.82,410.32,85.87,1,0.91,102.64,11066.51,1673.41
22809.39,88.28,1.93,0,90.15,347.43,193.48,251.81,140.41,102.11,26.46,1.1,0.78,97.85,20322.66,2164.87
52394.67,82.4,12.06,0,87.33,877.33,443.01,550.78,586.48,186.55,607.75,1.3,0.94,118.07,35880.5,1141.23
29641.8,123.68,4.84,0,121.78,454.9,233.73,293.03,191.19,258,166.19,0.75,0.75,103.57,16572.08,2500.96
37961.29,111.2,9.01,0,125.3,508.76,686.12,334.27,286.49,177.42,91.89,0.9,0.86,85.13,11178.19,7232.25
30108.1,92.02,13.25,0,90.06,442.37,298.1,338.42,167.83,73.9,89.34,1,0.94,109.96,14294.84,2744.46
40608.21,101.4,7.73,0,130.02,548.12,562.87,285.97,383.17,302.5,515.82,1.1,0.68,101.32,24231.13,1909.63
47748.44,90.39,5.69,0,91.01,781.35,579.16,573.75,384.09,199.31,100.14,1.3,0.78,114.64,13159.47,2719.14
15826.82,89.72,11.67,0,92.45,146.89,86.08,167.97,124.24,59.45,62.69,0.75,0.71,101.55,17315.85,4162.73
39274.55,86.42,7.82,0,83.88,505.76,546.55,355.11,288.62,175.52,61.35,0.9,0.81,90.22,21208.74,2078.23
23579.31,88.46,6.84,0,95.68,212.34,299.11,162.71,314.41,52.52,95.75,1,0.9,93.61,9935.07,2440.99
70077.78,115.81,11.94,0,119.93,702.63,920.29,1307.41,813.2,444.86,615.45,1.1,0.67,115.29,21811.97,1111.69
32730.1,94.39,4.85,0,101.29,423.47,321.97,620.08,300.79,143.94,225.57,1.3,0.83,100.41,15997.88,12720.48
46645.46,96.37,5.57,0,104.07,685.96,785.6,360.22,205.55,277.87,218.86,0.75,1.38,91.91,20320.02,4298.49
41613.66,97.82,0.28,0,93.82,526.78,548.85,282.54,153.65,387.46,99.96,0.9,0.86,117.43,12105.28,4297.16
23081.15,110.14,2.6,0,120.02,173.95,314.71,302.26,201.75,91.67,176.55,1,1.2,93.89,16426.42,2286.78
22609.55,89.3,1.78,0,82.81,166.66,329.02,172.71,252.92,184.64,92.82,1.1,1.48,99.45,13141.42,1742.84
