"UserID","ProductsViewed","TimeSpentMinutes","PastPurchases","PagesVisited","LoginFrequency","AbandonedCartCount","DeviceType","PreferredContentCategory","SubscriptionPlan","UserOrigin","FeedbackGiven","PAM_Cluster","KMeans_Cluster","KModes_Cluster"
3433,28,44,81,86,23,1,"Tablet","Books","Basic","Social_Media","Yes","1","2","2"
2001,47,68,0,139,11,4,"Mobile","HomeGoods","Basic","Organic","No","1","3","4"
1270,7,13,6,17,3,0,"Mobile","Books","Free","Social_Media","No","2","1","1"
3125,25,57,451,135,24,0,"Tablet","Books","Free","Referral","No","2","4","1"
2717,47,79,14,161,9,5,"Desktop","Electronics","Premium","Organic","Yes","3","3","4"
2961,6,7,0,35,3,1,"Desktop","HomeGoods","Premium","Referral","Yes","4","1","4"
2111,39,56,418,117,21,0,"Desktop","Apparel","Free","Social_Media","Yes","2","4","3"
3796,8,9,4,38,5,1,"Mobile","Books","Basic","Organic","No","1","1","2"
3869,41,24,190,43,23,0,"Mobile","HomeGoods","Free","Referral","Yes","4","2","1"
813,27,54,172,23,4,1,"Desktop","Books","Premium","Paid_Ad","No","1","2","1"
614,13,6,4,8,4,2,"Desktop","Gaming","Basic","Organic","No","1","1","2"
97,7,15,1,30,4,2,"Mobile","Apparel","Free","Organic","No","2","1","1"
1566,32,76,8,82,11,5,"Mobile","Apparel","Basic","Paid_Ad","No","2","2","1"
1315,31,34,356,76,25,0,"Desktop","HomeGoods","Basic","Organic","Yes","3","4","2"
3989,34,152,12,212,4,7,"Mobile","Books","Basic","Organic","No","1","3","1"
2346,36,43,15,125,10,4,"Mobile","Apparel","Basic","Referral","No","2","2","1"
705,34,56,79,83,15,4,"Desktop","Gaming","Basic","Organic","Yes","1","2","2"
2440,6,15,4,5,3,1,"Mobile","Electronics","Free","Organic","Yes","3","1","4"
3354,14,40,139,68,7,2,"Mobile","Apparel","Free","Paid_Ad","No","2","2","1"
1853,17,44,194,87,17,3,"Desktop","HomeGoods","Basic","Paid_Ad","No","1","2","1"
3599,64,131,18,204,4,9,"Desktop","Gaming","Basic","Organic","Yes","1","3","2"
3435,26,134,2,180,9,7,"Desktop","Books","Basic","Referral","Yes","1","3","2"
3110,53,122,19,151,4,3,"Mobile","Apparel","Free","Social_Media","No","2","3","1"
928,30,91,711,79,22,0,"Mobile","HomeGoods","Premium","Organic","Yes","3","4","4"
702,28,36,194,42,16,4,"Mobile","Apparel","Free","Referral","Yes","2","2","4"
2713,21,50,141,26,6,2,"Desktop","Apparel","Premium","Referral","No","3","2","3"
3203,32,54,527,83,27,1,"Desktop","Apparel","Premium","Referral","Yes","3","4","3"
3057,7,41,172,32,19,2,"Desktop","Apparel","Premium","Paid_Ad","Yes","3","2","3"
315,38,42,186,76,15,1,"Desktop","HomeGoods","Free","Organic","No","1","2","1"
89,6,20,1,5,4,0,"Mobile","HomeGoods","Free","Social_Media","No","4","1","1"
1964,37,89,2,181,7,5,"Mobile","Gaming","Premium","Paid_Ad","Yes","3","3","4"
939,11,21,6,5,3,2,"Mobile","Apparel","Premium","Paid_Ad","No","2","1","1"
3672,13,41,136,105,15,2,"Mobile","Books","Free","Paid_Ad","No","2","2","1"
1096,5,10,4,25,5,1,"Mobile","HomeGoods","Free","Paid_Ad","Yes","4","1","1"
2712,24,46,187,72,7,2,"Mobile","HomeGoods","Free","Organic","No","2","2","1"
1279,21,34,127,39,16,2,"Mobile","Gaming","Free","Paid_Ad","No","2","2","1"
138,8,14,1,23,4,1,"Desktop","Electronics","Premium","Organic","No","3","1","4"
1517,69,156,13,198,4,2,"Desktop","Books","Free","Referral","No","1","3","1"
2353,24,38,136,67,12,2,"Mobile","Electronics","Basic","Organic","Yes","3","2","2"
227,28,40,142,78,13,3,"Desktop","Apparel","Basic","Referral","Yes","4","2","2"
3040,7,13,5,28,3,0,"Desktop","Apparel","Free","Referral","Yes","4","1","3"
2521,5,16,3,20,3,2,"Desktop","Electronics","Basic","Referral","Yes","4","1","2"
2781,17,51,144,76,12,2,"Mobile","Electronics","Premium","Paid_Ad","Yes","3","2","4"
2530,13,12,3,29,3,3,"Tablet","HomeGoods","Premium","Organic","Yes","3","1","4"
3459,15,36,463,154,20,0,"Desktop","Apparel","Basic","Paid_Ad","Yes","2","4","2"
3255,4,15,4,34,2,1,"Mobile","Books","Basic","Organic","No","1","1","1"
675,16,36,132,63,21,2,"Mobile","HomeGoods","Basic","Organic","Yes","4","2","2"
579,33,56,464,113,19,0,"Mobile","HomeGoods","Free","Organic","No","2","4","1"
3851,6,12,0,12,4,3,"Mobile","Apparel","Basic","Paid_Ad","Yes","4","1","4"
90,75,173,13,154,10,5,"Tablet","Gaming","Basic","Paid_Ad","Yes","4","3","4"
814,11,14,2,22,5,3,"Mobile","Apparel","Basic","Paid_Ad","Yes","4","1","1"
722,34,66,544,78,34,0,"Desktop","Electronics","Basic","Referral","Yes","3","4","2"
913,12,14,1,19,3,0,"Mobile","Electronics","Premium","Referral","Yes","4","1","4"
1948,40,67,588,66,32,0,"Tablet","HomeGoods","Premium","Social_Media","Yes","3","4","3"
996,7,20,4,22,3,1,"Tablet","HomeGoods","Premium","Social_Media","No","4","1","3"
3242,38,59,680,118,14,0,"Desktop","Electronics","Free","Social_Media","Yes","3","4","3"
1624,9,13,4,13,3,1,"Tablet","Books","Basic","Organic","Yes","1","1","2"
517,21,63,142,98,12,2,"Desktop","Books","Premium","Paid_Ad","Yes","3","2","2"
3382,38,45,32,41,21,3,"Desktop","Gaming","Premium","Paid_Ad","Yes","3","2","4"
3684,5,21,3,18,3,0,"Desktop","Gaming","Premium","Paid_Ad","Yes","3","1","4"
515,42,79,536,111,36,0,"Mobile","Apparel","Premium","Organic","No","2","4","4"
2345,52,103,0,146,7,6,"Mobile","Books","Free","Organic","No","1","3","1"
462,11,29,174,72,16,3,"Mobile","Gaming","Free","Referral","Yes","4","2","4"
3755,76,121,8,208,1,3,"Desktop","Gaming","Premium","Paid_Ad","No","1","3","1"
3176,50,101,3,204,2,3,"Desktop","Electronics","Free","Organic","No","1","3","1"
3005,64,100,6,145,9,4,"Tablet","Books","Basic","Organic","No","1","3","2"
3049,10,48,86,69,9,3,"Desktop","Books","Basic","Referral","Yes","1","2","2"
651,6,12,3,14,3,1,"Mobile","Apparel","Premium","Social_Media","Yes","4","1","3"
2547,28,41,101,75,8,4,"Mobile","Books","Free","Paid_Ad","No","2","2","1"
69,8,25,2,27,4,0,"Mobile","Electronics","Premium","Referral","Yes","4","1","4"
912,81,99,7,109,8,7,"Mobile","HomeGoods","Premium","Paid_Ad","No","2","3","1"
3460,63,118,9,137,10,8,"Mobile","Books","Free","Social_Media","No","2","3","1"
3803,21,55,39,63,16,0,"Mobile","Electronics","Basic","Paid_Ad","No","2","2","1"
3671,9,11,7,34,3,1,"Mobile","HomeGoods","Free","Paid_Ad","No","2","1","1"
2434,23,65,575,74,21,1,"Tablet","HomeGoods","Basic","Organic","No","1","4","2"
2306,38,130,6,126,7,5,"Desktop","Electronics","Free","Organic","Yes","3","3","2"
3131,76,111,18,143,7,5,"Desktop","Gaming","Basic","Referral","No","1","3","2"
1340,34,55,433,78,22,0,"Tablet","Gaming","Premium","Organic","Yes","3","4","4"
1413,29,66,714,98,48,0,"Mobile","Books","Free","Paid_Ad","No","2","4","1"
1204,38,57,467,103,23,0,"Mobile","HomeGoods","Free","Paid_Ad","No","2","4","1"
1571,22,45,130,63,5,1,"Desktop","HomeGoods","Basic","Paid_Ad","No","1","2","2"
1535,23,46,148,44,17,2,"Mobile","HomeGoods","Free","Paid_Ad","No","2","2","1"
3694,64,133,3,55,8,4,"Mobile","HomeGoods","Basic","Organic","Yes","4","3","4"
1247,27,69,314,134,35,0,"Mobile","Apparel","Premium","Social_Media","No","2","4","3"
2369,32,67,418,126,17,0,"Desktop","Gaming","Premium","Organic","Yes","3","4","4"
232,26,46,177,26,10,3,"Tablet","HomeGoods","Free","Paid_Ad","No","2","2","1"
1821,9,12,0,26,3,2,"Mobile","Apparel","Free","Paid_Ad","No","2","1","1"
3165,60,116,20,93,8,2,"Desktop","Gaming","Free","Organic","No","1","3","4"
2228,27,43,119,78,13,1,"Mobile","Electronics","Free","Referral","No","2","2","1"
1919,8,13,0,27,2,2,"Mobile","HomeGoods","Free","Referral","No","4","1","1"
2946,4,20,1,17,2,2,"Desktop","Books","Premium","Social_Media","No","1","1","3"
2769,18,31,689,133,43,1,"Desktop","Electronics","Basic","Referral","No","1","4","2"
2162,68,107,15,156,13,9,"Mobile","Electronics","Premium","Paid_Ad","Yes","3","3","4"
508,34,60,391,85,25,0,"Mobile","Apparel","Basic","Organic","Yes","4","4","2"
3007,26,52,284,75,33,0,"Tablet","Gaming","Basic","Organic","Yes","3","4","4"
2989,24,88,10,145,6,4,"Desktop","Apparel","Free","Referral","No","2","3","1"
601,51,70,1,106,7,6,"Mobile","Apparel","Free","Paid_Ad","No","2","3","1"
641,31,111,420,100,13,0,"Tablet","Electronics","Premium","Paid_Ad","Yes","3","4","3"
3219,8,17,1,16,3,2,"Tablet","Apparel","Premium","Social_Media","No","2","1","3"
1542,7,5,7,7,2,1,"Mobile","HomeGoods","Free","Paid_Ad","No","2","1","1"
2746,6,15,1,25,3,0,"Mobile","Apparel","Free","Social_Media","Yes","4","1","3"
546,7,17,1,34,3,0,"Desktop","Gaming","Premium","Organic","Yes","3","1","4"
1551,9,8,2,18,2,3,"Desktop","HomeGoods","Premium","Organic","Yes","3","1","4"
567,22,61,143,70,13,2,"Mobile","Gaming","Premium","Organic","No","3","2","4"
2710,21,45,118,73,12,2,"Mobile","HomeGoods","Premium","Paid_Ad","No","2","2","1"
456,7,21,2,29,3,3,"Desktop","Electronics","Premium","Organic","No","3","1","2"
118,10,23,0,25,3,0,"Mobile","Electronics","Basic","Paid_Ad","Yes","4","1","1"
3090,45,87,3,139,5,2,"Desktop","Books","Premium","Referral","Yes","3","3","2"
2107,19,108,0,274,9,5,"Desktop","Electronics","Basic","Referral","Yes","3","3","2"
874,25,68,658,70,34,0,"Mobile","Books","Free","Organic","Yes","2","4","4"
3738,42,155,23,95,11,5,"Mobile","Apparel","Free","Paid_Ad","No","2","3","1"
1962,32,57,8,112,10,7,"Mobile","Books","Free","Paid_Ad","No","2","3","1"
2191,28,64,359,86,17,0,"Tablet","Electronics","Free","Paid_Ad","No","2","4","1"
3632,42,53,90,54,25,3,"Tablet","Apparel","Premium","Referral","No","2","2","3"
2296,80,83,12,74,10,7,"Mobile","Gaming","Premium","Paid_Ad","No","2","3","4"
3377,34,71,14,172,2,7,"Mobile","Gaming","Free","Organic","Yes","3","3","4"
3380,39,94,448,54,16,0,"Desktop","Gaming","Premium","Paid_Ad","No","2","4","4"
2856,29,50,105,82,16,2,"Mobile","Books","Free","Referral","No","2","2","1"
68,10,14,1,26,2,1,"Tablet","Books","Basic","Organic","No","1","1","2"
1820,45,156,11,118,4,8,"Mobile","Apparel","Basic","Paid_Ad","Yes","2","3","4"
1785,35,103,10,145,4,3,"Mobile","HomeGoods","Free","Social_Media","Yes","4","3","1"
518,6,7,1,11,2,1,"Mobile","Electronics","Free","Referral","Yes","4","1","1"
2176,63,63,2,109,6,2,"Tablet","Electronics","Free","Social_Media","No","2","3","1"
3745,37,69,533,129,22,1,"Desktop","Electronics","Premium","Paid_Ad","Yes","3","4","2"
2044,10,15,0,19,2,2,"Tablet","Gaming","Free","Organic","No","1","1","1"
3365,29,39,107,105,15,1,"Mobile","Apparel","Free","Paid_Ad","No","2","2","1"
2534,18,44,687,115,36,0,"Desktop","HomeGoods","Basic","Referral","Yes","4","4","2"
3598,8,15,0,32,3,1,"Tablet","Apparel","Basic","Social_Media","No","1","1","3"
2691,54,91,33,216,10,4,"Desktop","Apparel","Basic","Referral","No","1","3","2"
1908,37,62,483,56,28,0,"Desktop","Apparel","Free","Organic","Yes","3","4","2"
1816,42,48,71,121,20,3,"Desktop","Gaming","Free","Paid_Ad","No","2","2","1"
1403,37,104,0,145,10,6,"Mobile","Electronics","Free","Paid_Ad","No","2","3","1"
1016,8,14,4,22,4,1,"Mobile","Books","Free","Organic","No","1","1","1"
754,29,99,3,210,11,5,"Desktop","Books","Premium","Referral","No","1","3","2"
2684,12,22,0,20,3,2,"Desktop","Gaming","Free","Social_Media","No","1","1","1"
1519,30,42,63,35,28,3,"Mobile","Apparel","Free","Social_Media","No","2","2","1"
782,5,21,2,16,3,2,"Mobile","Books","Premium","Referral","Yes","4","1","4"
1843,14,47,134,68,15,3,"Tablet","Books","Free","Paid_Ad","No","2","2","1"
653,24,47,78,54,26,1,"Desktop","Apparel","Free","Paid_Ad","No","2","2","1"
867,64,69,7,171,5,5,"Desktop","Apparel","Basic","Paid_Ad","No","1","3","1"
3100,32,95,16,123,9,6,"Desktop","Electronics","Basic","Organic","Yes","3","3","2"
2448,41,106,16,139,14,3,"Desktop","Gaming","Basic","Organic","No","1","3","2"
2940,28,81,559,65,34,0,"Mobile","Books","Premium","Organic","Yes","3","4","4"
3674,8,11,0,28,3,1,"Desktop","HomeGoods","Free","Referral","Yes","4","1","2"
2295,9,18,2,22,3,3,"Mobile","Electronics","Premium","Social_Media","Yes","3","1","3"
2390,24,47,716,112,30,0,"Mobile","HomeGoods","Premium","Referral","No","4","4","4"
2495,30,64,449,64,10,0,"Desktop","Electronics","Free","Organic","No","3","4","2"
3181,53,139,1,192,14,8,"Mobile","Books","Premium","Referral","No","1","3","1"
2275,9,17,5,23,1,2,"Tablet","Books","Basic","Organic","Yes","1","1","2"
2677,22,25,25,47,24,3,"Desktop","Gaming","Premium","Social_Media","No","3","2","4"
3913,26,61,472,139,20,1,"Mobile","HomeGoods","Free","Referral","Yes","4","4","1"
3405,60,105,10,128,7,7,"Desktop","Gaming","Premium","Paid_Ad","No","1","3","1"
3750,33,11,154,76,15,2,"Desktop","Apparel","Basic","Organic","No","1","2","2"
2708,7,9,3,12,3,1,"Desktop","HomeGoods","Basic","Referral","No","4","1","2"
2279,22,54,111,60,16,2,"Desktop","Electronics","Basic","Organic","No","1","2","2"
1530,50,91,5,79,9,4,"Desktop","Books","Premium","Paid_Ad","No","1","3","1"
1634,40,103,566,83,15,1,"Tablet","Books","Free","Paid_Ad","No","2","4","1"
624,25,37,184,61,18,2,"Mobile","Electronics","Premium","Organic","No","3","2","4"
3773,3,5,1,16,3,1,"Desktop","Gaming","Premium","Paid_Ad","Yes","3","1","4"
976,36,21,398,110,36,0,"Mobile","Apparel","Free","Paid_Ad","No","2","4","1"
2994,11,26,87,78,11,3,"Desktop","Apparel","Free","Referral","No","2","2","1"
2954,27,133,12,160,8,4,"Desktop","Electronics","Basic","Paid_Ad","Yes","3","3","2"
2200,64,86,11,171,2,9,"Desktop","Electronics","Basic","Organic","Yes","3","3","2"
3556,9,17,4,26,4,3,"Desktop","HomeGoods","Free","Referral","Yes","4","1","2"
3231,68,100,13,217,3,9,"Desktop","Electronics","Basic","Paid_Ad","Yes","3","3","2"
2690,8,19,1,19,2,2,"Mobile","Books","Premium","Paid_Ad","No","2","1","1"
3275,7,14,1,19,2,1,"Mobile","HomeGoods","Free","Referral","Yes","4","1","4"
1321,5,7,1,21,3,0,"Mobile","Gaming","Free","Organic","No","2","1","4"
3039,31,47,100,93,15,2,"Mobile","Gaming","Premium","Organic","No","3","2","4"
1335,22,57,146,99,23,0,"Mobile","Electronics","Basic","Referral","No","4","2","1"
3268,38,36,100,41,14,1,"Mobile","HomeGoods","Free","Organic","Yes","4","2","4"
1136,7,22,4,16,2,1,"Desktop","Gaming","Premium","Organic","No","1","1","4"
3344,29,51,85,56,13,1,"Mobile","Books","Free","Social_Media","Yes","2","2","1"
3567,63,52,5,130,7,7,"Desktop","Apparel","Basic","Referral","No","1","3","2"
3106,25,60,141,129,26,1,"Tablet","Apparel","Free","Paid_Ad","No","2","2","1"
2894,45,73,2,154,8,6,"Desktop","Electronics","Basic","Social_Media","No","1","3","2"
3644,34,44,180,55,19,2,"Desktop","Apparel","Free","Paid_Ad","No","2","2","1"
2095,38,48,148,49,18,2,"Desktop","Books","Premium","Organic","No","1","2","2"
2584,48,92,17,154,9,5,"Desktop","HomeGoods","Premium","Referral","Yes","3","3","3"
1155,31,85,407,124,40,0,"Tablet","Gaming","Basic","Referral","Yes","4","4","4"
236,20,44,158,64,15,2,"Desktop","Gaming","Premium","Referral","Yes","3","2","4"
525,28,31,457,101,21,0,"Mobile","Apparel","Premium","Organic","Yes","3","4","4"
2798,32,78,703,86,24,0,"Tablet","Electronics","Basic","Paid_Ad","Yes","3","4","2"
168,68,98,3,157,5,4,"Mobile","Books","Free","Organic","No","1","3","1"
1798,6,6,3,17,3,2,"Tablet","HomeGoods","Basic","Referral","Yes","4","1","2"
2129,29,44,183,74,23,0,"Mobile","Gaming","Basic","Organic","No","1","2","4"
463,26,44,90,68,22,3,"Tablet","HomeGoods","Basic","Social_Media","No","1","2","3"
1926,17,52,113,81,23,3,"Mobile","Books","Premium","Paid_Ad","No","2","2","1"
1684,22,41,131,33,19,1,"Mobile","Books","Premium","Referral","Yes","4","2","4"
2315,15,49,485,100,28,0,"Mobile","Apparel","Basic","Referral","Yes","4","4","2"
2185,31,70,904,136,26,0,"Desktop","Apparel","Basic","Social_Media","Yes","3","4","3"
234,52,83,14,91,9,5,"Desktop","Gaming","Premium","Referral","Yes","3","3","4"
1231,47,93,8,154,12,1,"Desktop","Electronics","Free","Referral","No","2","3","1"
1467,8,8,6,16,4,2,"Desktop","Apparel","Basic","Paid_Ad","No","1","1","1"
1748,10,17,2,7,1,0,"Desktop","Gaming","Free","Paid_Ad","Yes","3","1","1"
3244,9,9,2,25,3,0,"Mobile","HomeGoods","Free","Paid_Ad","No","2","1","1"
2873,27,52,2,140,9,6,"Desktop","Gaming","Basic","Organic","Yes","1","3","2"
2033,33,89,592,104,23,0,"Desktop","HomeGoods","Free","Paid_Ad","No","2","4","1"
2075,14,71,574,88,29,0,"Desktop","Electronics","Free","Paid_Ad","No","2","4","1"
1702,61,105,10,129,10,0,"Mobile","Electronics","Free","Organic","Yes","3","3","4"
1774,25,58,494,100,16,0,"Desktop","Apparel","Free","Paid_Ad","No","2","4","1"
2465,23,37,91,55,14,2,"Tablet","Gaming","Premium","Paid_Ad","No","2","2","4"
2978,65,101,22,130,9,7,"Mobile","Electronics","Premium","Paid_Ad","Yes","3","3","4"
79,34,42,119,57,21,2,"Desktop","Apparel","Basic","Referral","No","1","2","2"
1246,24,41,172,97,19,3,"Mobile","Apparel","Free","Referral","No","2","2","1"
3613,32,48,479,89,19,0,"Desktop","Gaming","Premium","Paid_Ad","Yes","3","4","4"
447,7,5,3,30,3,2,"Mobile","Apparel","Premium","Referral","No","2","1","4"
623,7,23,2,15,1,0,"Tablet","Electronics","Premium","Referral","Yes","3","1","3"
3532,13,13,2,15,4,0,"Mobile","HomeGoods","Free","Organic","Yes","4","1","4"
986,9,11,2,40,1,2,"Desktop","Apparel","Free","Organic","No","1","1","1"
1350,26,37,456,59,33,0,"Mobile","Electronics","Premium","Organic","Yes","3","4","4"
504,50,97,0,56,7,6,"Mobile","Electronics","Premium","Referral","No","3","3","4"
3784,63,112,10,132,8,7,"Tablet","Electronics","Premium","Organic","Yes","3","3","4"
396,41,143,22,103,10,2,"Desktop","Apparel","Basic","Paid_Ad","No","1","3","1"
1940,9,23,1,26,3,0,"Desktop","Books","Premium","Referral","No","1","1","1"
1667,2,14,1,35,2,0,"Mobile","HomeGoods","Free","Paid_Ad","Yes","4","1","1"
2967,7,19,4,15,1,0,"Mobile","Apparel","Basic","Paid_Ad","Yes","4","1","3"
331,29,56,481,81,31,0,"Mobile","Books","Free","Referral","No","2","4","1"
326,71,92,15,140,11,1,"Mobile","Apparel","Free","Social_Media","Yes","2","3","3"
571,24,38,511,66,32,1,"Mobile","HomeGoods","Basic","Referral","No","4","4","1"
3858,77,119,21,94,11,7,"Mobile","HomeGoods","Premium","Organic","Yes","3","3","4"
127,39,64,5,57,12,4,"Mobile","Gaming","Premium","Referral","No","2","2","4"
2872,57,105,13,207,10,3,"Mobile","Electronics","Free","Referral","No","2","3","1"
3093,27,37,77,60,14,3,"Mobile","Gaming","Basic","Social_Media","No","1","2","1"
3506,24,50,460,94,20,0,"Mobile","HomeGoods","Basic","Paid_Ad","No","2","4","1"
2319,53,135,12,170,9,4,"Desktop","Books","Free","Referral","No","1","3","1"
1221,17,47,96,81,16,0,"Desktop","Gaming","Premium","Organic","Yes","3","2","4"
54,63,101,8,143,7,4,"Desktop","Books","Free","Organic","No","1","3","1"
2487,64,92,5,117,4,5,"Desktop","Books","Free","Organic","No","1","3","2"
3566,7,20,2,11,3,2,"Mobile","HomeGoods","Basic","Paid_Ad","No","4","1","1"
1240,25,32,130,46,17,4,"Desktop","Apparel","Free","Paid_Ad","No","2","2","1"
2814,13,12,0,19,1,2,"Mobile","Apparel","Premium","Organic","Yes","3","1","4"
558,32,70,347,89,26,0,"Desktop","Books","Premium","Referral","Yes","3","4","2"
922,42,151,23,102,8,6,"Mobile","HomeGoods","Free","Referral","Yes","4","3","4"
489,27,40,167,46,13,1,"Desktop","Electronics","Free","Paid_Ad","No","2","2","1"
2533,31,91,566,101,29,1,"Mobile","Apparel","Basic","Social_Media","No","2","4","3"
2195,11,11,2,24,3,2,"Desktop","Apparel","Free","Paid_Ad","No","2","1","1"
2188,24,38,378,101,18,1,"Mobile","HomeGoods","Premium","Social_Media","No","2","4","4"
51,24,108,11,173,3,6,"Mobile","Electronics","Premium","Organic","No","3","3","4"
1693,19,53,102,86,19,0,"Mobile","Gaming","Basic","Organic","No","1","2","4"
1073,6,14,1,16,3,2,"Desktop","Books","Basic","Paid_Ad","No","1","1","1"
3920,9,14,0,20,2,1,"Desktop","Books","Premium","Referral","Yes","3","1","2"
530,24,60,194,96,10,2,"Desktop","Gaming","Free","Referral","Yes","3","2","4"
2055,10,11,2,20,2,3,"Tablet","Electronics","Basic","Paid_Ad","No","1","1","1"
2705,43,76,13,98,9,2,"Mobile","HomeGoods","Basic","Organic","Yes","4","2","4"
2833,27,72,692,99,37,0,"Desktop","Gaming","Free","Paid_Ad","Yes","2","4","1"
179,10,11,1,24,4,1,"Tablet","Books","Free","Organic","Yes","1","1","2"
768,21,41,108,51,16,1,"Mobile","HomeGoods","Free","Social_Media","No","2","2","1"
2166,7,13,5,20,3,0,"Desktop","Gaming","Basic","Referral","No","1","1","2"
1483,7,17,3,10,4,1,"Desktop","Books","Premium","Paid_Ad","Yes","3","1","2"
3461,11,16,6,23,3,1,"Mobile","Gaming","Basic","Referral","Yes","4","1","4"
390,38,150,6,189,10,1,"Mobile","Books","Free","Paid_Ad","No","2","3","1"
911,40,121,16,283,5,8,"Desktop","HomeGoods","Premium","Referral","No","1","3","3"
1184,7,8,4,16,2,2,"Mobile","HomeGoods","Basic","Referral","Yes","4","1","4"
2799,33,31,133,45,16,2,"Mobile","Electronics","Premium","Referral","Yes","3","2","4"
2630,61,126,0,142,13,0,"Tablet","Gaming","Premium","Organic","No","1","3","4"
846,28,54,72,35,17,1,"Mobile","HomeGoods","Free","Referral","Yes","4","2","4"
1835,60,159,14,125,8,3,"Tablet","Books","Basic","Organic","No","1","3","2"
3046,30,26,359,175,24,1,"Desktop","Electronics","Free","Organic","No","3","4","1"
1048,65,24,21,181,7,5,"Mobile","HomeGoods","Premium","Organic","No","1","3","4"
964,40,123,10,147,6,6,"Tablet","Electronics","Basic","Social_Media","Yes","3","3","3"
3723,26,44,155,58,12,2,"Mobile","HomeGoods","Premium","Organic","Yes","3","2","4"
3722,37,50,157,38,16,4,"Desktop","Electronics","Basic","Social_Media","No","1","2","2"
3862,16,49,416,85,22,0,"Desktop","Gaming","Free","Organic","Yes","3","4","4"
2558,71,126,3,102,10,5,"Mobile","HomeGoods","Free","Organic","Yes","4","3","4"
488,33,79,461,99,30,0,"Tablet","Electronics","Premium","Paid_Ad","No","2","4","1"
237,28,96,20,228,7,7,"Desktop","Apparel","Basic","Paid_Ad","No","1","3","2"
1833,9,11,6,10,4,1,"Tablet","HomeGoods","Free","Organic","No","1","1","1"
1070,20,76,562,71,23,0,"Desktop","Books","Basic","Paid_Ad","Yes","1","4","2"
3494,8,21,2,21,5,0,"Mobile","Gaming","Basic","Paid_Ad","Yes","4","1","4"
713,32,68,534,62,28,0,"Desktop","Gaming","Premium","Referral","No","3","4","4"
703,68,72,21,133,10,7,"Mobile","Gaming","Free","Referral","Yes","4","3","4"
837,36,60,214,99,17,0,"Mobile","Apparel","Free","Paid_Ad","No","2","2","1"
3923,7,11,0,36,3,1,"Desktop","HomeGoods","Basic","Paid_Ad","No","1","1","2"
1621,47,127,0,192,5,6,"Mobile","Electronics","Basic","Paid_Ad","No","2","3","1"
1516,31,55,167,59,18,3,"Mobile","Apparel","Basic","Paid_Ad","Yes","2","2","1"
376,5,20,2,23,3,1,"Tablet","Electronics","Free","Organic","Yes","3","1","4"
2071,59,83,0,54,12,5,"Desktop","Gaming","Basic","Organic","No","1","3","2"
2745,11,20,3,15,2,1,"Desktop","Books","Basic","Referral","Yes","4","1","2"
3349,9,12,6,18,4,1,"Mobile","Gaming","Free","Paid_Ad","No","2","1","1"
906,21,50,653,90,24,0,"Tablet","Electronics","Basic","Organic","No","1","4","2"
3157,25,53,134,57,15,2,"Mobile","Electronics","Basic","Organic","Yes","3","2","4"
2932,71,98,3,149,7,5,"Mobile","Books","Basic","Referral","No","1","3","1"
744,26,73,562,68,33,0,"Mobile","Books","Basic","Organic","No","1","4","2"
