"UserID","DeviceType","PreferredContentCategory","SubscriptionPlan","UserOrigin","FeedbackGiven"
1305,"Mobile","Apparel","Basic","Organic","Yes"
3466,"Desktop","Electronics","Premium","Organic","Yes"
974,"Tablet","Apparel","Basic","Paid_Ad","No"
2123,"Desktop","HomeGoods","Basic","Organic","Yes"
3958,"Desktop","Electronics","Basic","Paid_Ad","No"
2776,"Mobile","Books","Basic","Social_Media","No"
3519,"Mobile","Books","Premium","Paid_Ad","Yes"
1081,"Desktop","Electronics","Basic","Referral","Yes"
2183,"Tablet","Apparel","Premium","Paid_Ad","Yes"
3060,"Mobile","Apparel","Premium","Organic","Yes"
102,"Mobile","HomeGoods","Basic","Paid_Ad","No"
2857,"Desktop","Apparel","Premium","Organic","Yes"
2743,"Desktop","Books","Premium","Paid_Ad","Yes"
662,"Desktop","Apparel","Premium","Organic","Yes"
271,"Mobile","Apparel","Basic","Paid_Ad","No"
2389,"Mobile","HomeGoods","Free","Organic","No"
1196,"Mobile","Books","Basic","Referral","Yes"
274,"Mobile","Gaming","Free","Paid_Ad","No"
1317,"Mobile","Electronics","Premium","Paid_Ad","Yes"
3334,"Mobile","HomeGoods","Free","Referral","Yes"
1546,"Mobile","Books","Free","Organic","Yes"
3755,"Desktop","Gaming","Premium","Paid_Ad","No"
2025,"Desktop","Electronics","Basic","Organic","Yes"
391,"Mobile","Electronics","Premium","Organic","No"
1886,"Mobile","HomeGoods","Basic","Organic","No"
3065,"Desktop","HomeGoods","Premium","Referral","No"
1402,"Desktop","Electronics","Free","Organic","Yes"
1633,"Desktop","Apparel","Free","Social_Media","No"
1912,"Mobile","HomeGoods","Free","Organic","No"
196,"Mobile","HomeGoods","Premium","Paid_Ad","No"
1279,"Mobile","Gaming","Free","Paid_Ad","No"
1902,"Desktop","Gaming","Basic","Referral","No"
3492,"Mobile","HomeGoods","Free","Paid_Ad","No"
1018,"Mobile","Electronics","Premium","Social_Media","Yes"
2650,"Desktop","Books","Free","Referral","Yes"
2278,"Tablet","Electronics","Premium","Organic","Yes"
1673,"Mobile","Apparel","Basic","Referral","No"
414,"Desktop","Electronics","Free","Referral","No"
148,"Mobile","Gaming","Basic","Social_Media","Yes"
1873,"Desktop","Gaming","Free","Paid_Ad","Yes"
2770,"Mobile","Apparel","Premium","Paid_Ad","No"
3549,"Desktop","Books","Premium","Referral","No"
1105,"Desktop","Gaming","Premium","Organic","Yes"
2352,"Desktop","Electronics","Basic","Organic","Yes"
2914,"Mobile","HomeGoods","Basic","Referral","No"
2676,"Mobile","HomeGoods","Free","Paid_Ad","No"
1203,"Desktop","Gaming","Premium","Referral","Yes"
3812,"Mobile","Electronics","Premium","Referral","No"
1144,"Tablet","HomeGoods","Basic","Referral","Yes"
3674,"Desktop","HomeGoods","Free","Referral","Yes"
2744,"Tablet","HomeGoods","Premium","Referral","Yes"
544,"Mobile","Books","Premium","Referral","Yes"
1665,"Mobile","HomeGoods","Basic","Paid_Ad","No"
1877,"Desktop","HomeGoods","Free","Referral","Yes"
3011,"Desktop","Gaming","Basic","Referral","No"
1319,"Mobile","Gaming","Basic","Organic","Yes"
1285,"Desktop","Books","Basic","Social_Media","No"
1308,"Desktop","Books","Premium","Organic","No"
1024,"Mobile","HomeGoods","Basic","Paid_Ad","Yes"
2230,"Mobile","HomeGoods","Basic","Paid_Ad","No"
3440,"Desktop","Electronics","Premium","Social_Media","Yes"
1262,"Desktop","Books","Basic","Referral","No"
3091,"Mobile","Books","Premium","Organic","Yes"
1918,"Desktop","Books","Premium","Social_Media","No"
3980,"Mobile","HomeGoods","Free","Paid_Ad","No"
827,"Tablet","HomeGoods","Basic","Social_Media","Yes"
258,"Mobile","HomeGoods","Free","Paid_Ad","No"
200,"Mobile","Apparel","Basic","Organic","Yes"
1675,"Mobile","HomeGoods","Free","Organic","No"
2118,"Mobile","Apparel","Free","Organic","No"
1367,"Mobile","Apparel","Premium","Organic","No"
1866,"Desktop","Apparel","Free","Social_Media","No"
2226,"Mobile","HomeGoods","Free","Paid_Ad","Yes"
2168,"Mobile","Books","Premium","Referral","Yes"
1462,"Tablet","Apparel","Free","Referral","No"
675,"Mobile","HomeGoods","Basic","Organic","Yes"
166,"Mobile","Electronics","Free","Organic","Yes"
3146,"Tablet","Electronics","Free","Organic","Yes"
653,"Desktop","Apparel","Free","Paid_Ad","No"
834,"Desktop","Electronics","Basic","Organic","No"
279,"Tablet","Gaming","Basic","Referral","Yes"
1663,"Mobile","Books","Basic","Social_Media","No"
2725,"Mobile","Books","Premium","Paid_Ad","Yes"
3877,"Desktop","Apparel","Basic","Paid_Ad","No"
236,"Desktop","Gaming","Premium","Referral","Yes"
1820,"Mobile","Apparel","Basic","Paid_Ad","Yes"
931,"Tablet","HomeGoods","Basic","Social_Media","No"
2774,"Mobile","Electronics","Free","Social_Media","Yes"
3385,"Desktop","Books","Basic","Organic","No"
1000,"Mobile","Apparel","Basic","Paid_Ad","No"
2498,"Mobile","HomeGoods","Basic","Organic","Yes"
269,"Mobile","Apparel","Free","Paid_Ad","No"
630,"Desktop","Electronics","Free","Paid_Ad","Yes"
1953,"Mobile","Electronics","Premium","Referral","Yes"
2133,"Desktop","Gaming","Basic","Social_Media","Yes"
3483,"Desktop","Books","Basic","Paid_Ad","No"
1243,"Mobile","Books","Free","Social_Media","No"
1246,"Mobile","Apparel","Free","Referral","No"
3630,"Desktop","Apparel","Premium","Social_Media","Yes"
2403,"Desktop","Apparel","Basic","Organic","Yes"
2184,"Tablet","Gaming","Premium","Organic","Yes"
3701,"Mobile","HomeGoods","Free","Paid_Ad","Yes"
81,"Desktop","HomeGoods","Premium","Organic","No"
2215,"Tablet","Apparel","Free","Paid_Ad","No"
853,"Desktop","HomeGoods","Basic","Organic","Yes"
1630,"Mobile","HomeGoods","Basic","Organic","No"
2728,"Desktop","Apparel","Premium","Social_Media","No"
1088,"Desktop","HomeGoods","Free","Social_Media","No"
1216,"Mobile","HomeGoods","Free","Paid_Ad","No"
849,"Desktop","Books","Premium","Organic","No"
3830,"Mobile","Books","Basic","Referral","Yes"
3246,"Desktop","Apparel","Free","Organic","Yes"
229,"Mobile","Books","Premium","Paid_Ad","Yes"
3448,"Mobile","HomeGoods","Free","Social_Media","No"
257,"Desktop","Electronics","Basic","Organic","Yes"
3181,"Mobile","Books","Premium","Referral","No"
3520,"Desktop","Apparel","Free","Referral","Yes"
3716,"Desktop","Electronics","Basic","Organic","No"
3652,"Mobile","Gaming","Basic","Referral","Yes"
697,"Mobile","Books","Basic","Referral","Yes"
776,"Desktop","HomeGoods","Premium","Organic","No"
2997,"Mobile","Gaming","Premium","Organic","No"
2731,"Desktop","Apparel","Basic","Referral","No"
26,"Mobile","Apparel","Basic","Social_Media","Yes"
1294,"Desktop","Electronics","Basic","Organic","Yes"
3010,"Desktop","HomeGoods","Free","Organic","No"
2724,"Desktop","Gaming","Premium","Organic","Yes"
1607,"Mobile","Electronics","Free","Paid_Ad","Yes"
3863,"Desktop","HomeGoods","Basic","Organic","No"
2696,"Tablet","Gaming","Free","Referral","Yes"
2438,"Desktop","Apparel","Premium","Social_Media","Yes"
288,"Mobile","HomeGoods","Basic","Organic","No"
1874,"Mobile","Books","Basic","Organic","Yes"
665,"Desktop","Gaming","Premium","Organic","Yes"
1011,"Mobile","Apparel","Free","Social_Media","No"
3689,"Desktop","Books","Basic","Paid_Ad","Yes"
705,"Desktop","Gaming","Basic","Organic","Yes"
1152,"Desktop","Gaming","Premium","Paid_Ad","Yes"
1484,"Desktop","HomeGoods","Basic","Referral","Yes"
2876,"Desktop","Gaming","Basic","Organic","Yes"
951,"Desktop","Electronics","Basic","Social_Media","No"
3788,"Mobile","HomeGoods","Free","Paid_Ad","No"
3062,"Desktop","Books","Basic","Paid_Ad","Yes"
844,"Desktop","Electronics","Basic","Organic","Yes"
585,"Desktop","Electronics","Premium","Organic","Yes"
542,"Mobile","Electronics","Premium","Paid_Ad","Yes"
3763,"Desktop","Apparel","Basic","Paid_Ad","No"
1895,"Desktop","Gaming","Premium","Paid_Ad","No"
1460,"Desktop","Books","Basic","Paid_Ad","No"
2903,"Tablet","Gaming","Basic","Organic","Yes"
1597,"Mobile","Gaming","Basic","Organic","No"
2286,"Desktop","Electronics","Basic","Paid_Ad","No"
2398,"Mobile","Gaming","Free","Organic","No"
104,"Mobile","Gaming","Basic","Referral","No"
3024,"Desktop","Apparel","Premium","Organic","Yes"
2109,"Desktop","Gaming","Premium","Paid_Ad","No"
3808,"Mobile","HomeGoods","Free","Paid_Ad","Yes"
422,"Mobile","Books","Premium","Referral","No"
2011,"Desktop","Books","Free","Social_Media","Yes"
51,"Mobile","Electronics","Premium","Organic","No"
1591,"Desktop","Electronics","Basic","Paid_Ad","No"
312,"Mobile","Gaming","Premium","Organic","No"
1272,"Mobile","Electronics","Free","Paid_Ad","No"
531,"Tablet","HomeGoods","Basic","Organic","Yes"
878,"Mobile","Gaming","Premium","Paid_Ad","No"
1249,"Mobile","HomeGoods","Basic","Paid_Ad","Yes"
2137,"Mobile","Gaming","Basic","Organic","No"
3622,"Mobile","Books","Free","Referral","No"
1771,"Mobile","Apparel","Premium","Social_Media","Yes"
2927,"Desktop","HomeGoods","Free","Paid_Ad","Yes"
522,"Mobile","Books","Basic","Referral","Yes"
2940,"Mobile","Books","Premium","Organic","Yes"
2455,"Mobile","HomeGoods","Free","Organic","Yes"
1215,"Desktop","Electronics","Basic","Referral","No"
3609,"Desktop","Electronics","Premium","Referral","Yes"
1516,"Mobile","Apparel","Basic","Paid_Ad","Yes"
3213,"Desktop","Electronics","Premium","Organic","Yes"
3221,"Desktop","HomeGoods","Free","Paid_Ad","No"
350,"Mobile","HomeGoods","Free","Organic","Yes"
2076,"Mobile","HomeGoods","Free","Referral","No"
3455,"Desktop","Books","Basic","Organic","No"
3850,"Desktop","HomeGoods","Premium","Social_Media","No"
80,"Desktop","HomeGoods","Basic","Paid_Ad","Yes"
365,"Tablet","Electronics","Basic","Referral","Yes"
1589,"Desktop","Gaming","Basic","Paid_Ad","No"
1230,"Desktop","HomeGoods","Free","Referral","Yes"
1632,"Desktop","HomeGoods","Premium","Social_Media","Yes"
1764,"Desktop","Electronics","Premium","Organic","Yes"
2809,"Tablet","HomeGoods","Free","Paid_Ad","No"
2131,"Mobile","HomeGoods","Basic","Organic","No"
2417,"Mobile","Apparel","Premium","Organic","Yes"
3523,"Desktop","Apparel","Free","Social_Media","No"
3777,"Mobile","Apparel","Free","Paid_Ad","No"
1737,"Mobile","Electronics","Premium","Organic","No"
331,"Mobile","Books","Free","Referral","No"
3265,"Desktop","Books","Premium","Referral","No"
167,"Mobile","HomeGoods","Free","Referral","No"
3614,"Desktop","Apparel","Basic","Referral","Yes"
1346,"Mobile","Apparel","Free","Paid_Ad","No"
247,"Desktop","Electronics","Free","Organic","Yes"
1502,"Desktop","Gaming","Premium","Paid_Ad","Yes"
3682,"Desktop","HomeGoods","Free","Referral","No"
1941,"Desktop","Gaming","Premium","Referral","Yes"
3402,"Mobile","Gaming","Basic","Organic","Yes"
1725,"Mobile","Electronics","Free","Paid_Ad","No"
1832,"Mobile","Apparel","Basic","Paid_Ad","Yes"
3860,"Mobile","Books","Free","Paid_Ad","No"
2693,"Mobile","HomeGoods","Basic","Social_Media","Yes"
561,"Mobile","Electronics","Premium","Referral","Yes"
1962,"Mobile","Books","Free","Paid_Ad","No"
1353,"Desktop","Electronics","Basic","Referral","Yes"
1839,"Desktop","HomeGoods","Premium","Referral","Yes"
3693,"Mobile","Gaming","Basic","Social_Media","Yes"
642,"Mobile","Electronics","Basic","Social_Media","Yes"
2785,"Tablet","Gaming","Free","Organic","Yes"
2852,"Mobile","Apparel","Free","Paid_Ad","No"
2714,"Mobile","Electronics","Free","Organic","Yes"
3608,"Desktop","HomeGoods","Premium","Organic","No"
3164,"Mobile","Apparel","Premium","Paid_Ad","No"
3073,"Desktop","HomeGoods","Premium","Organic","Yes"
3001,"Mobile","Apparel","Free","Social_Media","No"
3892,"Desktop","Books","Premium","Organic","No"
767,"Mobile","Gaming","Free","Organic","No"
1179,"Desktop","Electronics","Premium","Referral","Yes"
3683,"Desktop","Books","Basic","Paid_Ad","No"
411,"Mobile","Apparel","Free","Organic","No"
2747,"Desktop","Electronics","Premium","Organic","No"
2315,"Mobile","Apparel","Basic","Referral","Yes"
2932,"Mobile","Books","Basic","Referral","No"
1813,"Desktop","Gaming","Basic","Paid_Ad","Yes"
1425,"Desktop","Apparel","Free","Paid_Ad","No"
596,"Mobile","Apparel","Free","Referral","No"
2465,"Tablet","Gaming","Premium","Paid_Ad","No"
184,"Tablet","Apparel","Basic","Organic","No"
286,"Mobile","HomeGoods","Free","Organic","No"
1233,"Mobile","Books","Free","Paid_Ad","Yes"
1370,"Desktop","Gaming","Premium","Paid_Ad","No"
2908,"Desktop","Electronics","Basic","Paid_Ad","Yes"
221,"Mobile","Apparel","Free","Paid_Ad","Yes"
2826,"Mobile","Books","Free","Paid_Ad","No"
295,"Tablet","Apparel","Free","Organic","Yes"
2524,"Mobile","HomeGoods","Premium","Paid_Ad","No"
2648,"Desktop","Books","Basic","Organic","No"
960,"Desktop","Books","Premium","Referral","Yes"
1344,"Desktop","Apparel","Premium","Referral","Yes"
1488,"Mobile","Apparel","Free","Social_Media","No"
1414,"Mobile","Electronics","Premium","Social_Media","Yes"
440,"Mobile","Apparel","Free","Social_Media","No"
891,"Tablet","Gaming","Basic","Organic","Yes"
1712,"Desktop","HomeGoods","Free","Organic","Yes"
636,"Tablet","Gaming","Basic","Social_Media","No"
2711,"Tablet","Apparel","Free","Referral","No"
970,"Desktop","Electronics","Basic","Organic","No"
2251,"Mobile","HomeGoods","Basic","Paid_Ad","Yes"
1949,"Mobile","Apparel","Basic","Organic","Yes"
2164,"Tablet","Apparel","Free","Social_Media","Yes"
2319,"Desktop","Books","Free","Referral","No"
2894,"Desktop","Electronics","Basic","Social_Media","No"
2358,"Desktop","HomeGoods","Free","Paid_Ad","No"
3371,"Desktop","Apparel","Premium","Referral","Yes"
3046,"Desktop","Electronics","Free","Organic","No"
206,"Desktop","Apparel","Free","Paid_Ad","No"
2135,"Mobile","Electronics","Premium","Organic","Yes"
2361,"Mobile","HomeGoods","Premium","Referral","Yes"
2220,"Mobile","Apparel","Free","Organic","Yes"
608,"Mobile","Books","Premium","Organic","Yes"
3133,"Mobile","Books","Basic","Organic","No"
1188,"Mobile","HomeGoods","Premium","Paid_Ad","No"
2216,"Desktop","Electronics","Premium","Organic","No"
2289,"Tablet","Books","Free","Social_Media","No"
2115,"Desktop","Electronics","Basic","Paid_Ad","Yes"
3920,"Desktop","Books","Premium","Referral","Yes"
2157,"Desktop","Apparel","Free","Paid_Ad","No"
2165,"Desktop","Electronics","Premium","Referral","Yes"
3537,"Mobile","Apparel","Free","Paid_Ad","Yes"
3615,"Mobile","HomeGoods","Premium","Organic","Yes"
474,"Mobile","Books","Basic","Referral","Yes"
2913,"Desktop","Electronics","Free","Organic","Yes"
3601,"Desktop","Books","Premium","Paid_Ad","No"
1790,"Mobile","HomeGoods","Premium","Organic","Yes"
163,"Tablet","Books","Basic","Organic","No"
3247,"Mobile","HomeGoods","Basic","Organic","Yes"
2653,"Mobile","Books","Premium","Organic","No"
3223,"Desktop","Gaming","Premium","Referral","Yes"
110,"Desktop","Apparel","Basic","Organic","Yes"
600,"Mobile","HomeGoods","Free","Social_Media","No"
1250,"Desktop","Gaming","Basic","Organic","Yes"
765,"Desktop","Gaming","Premium","Referral","Yes"
117,"Mobile","HomeGoods","Basic","Paid_Ad","Yes"
3839,"Mobile","Electronics","Basic","Referral","Yes"
3642,"Desktop","HomeGoods","Free","Organic","No"
3737,"Mobile","Gaming","Free","Paid_Ad","No"
1686,"Desktop","Gaming","Premium","Referral","Yes"
3897,"Desktop","Books","Free","Organic","Yes"
3822,"Tablet","Books","Premium","Social_Media","No"
1702,"Mobile","Electronics","Free","Organic","Yes"
719,"Tablet","HomeGoods","Free","Paid_Ad","Yes"
3688,"Mobile","Apparel","Free","Social_Media","No"
2805,"Mobile","Books","Free","Organic","No"
189,"Mobile","Apparel","Free","Paid_Ad","No"
3130,"Mobile","HomeGoods","Basic","Organic","Yes"
676,"Desktop","HomeGoods","Free","Social_Media","Yes"
1384,"Mobile","Electronics","Premium","Paid_Ad","No"
2775,"Desktop","Apparel","Free","Organic","No"
3126,"Mobile","HomeGoods","Basic","Referral","Yes"
3314,"Mobile","HomeGoods","Free","Paid_Ad","No"
1471,"Desktop","HomeGoods","Free","Paid_Ad","No"
543,"Desktop","HomeGoods","Basic","Organic","Yes"
723,"Desktop","Gaming","Basic","Referral","Yes"
1041,"Desktop","Electronics","Premium","Referral","Yes"
671,"Mobile","Apparel","Free","Organic","No"
2026,"Mobile","Books","Premium","Referral","Yes"
413,"Desktop","Electronics","Free","Referral","No"
3162,"Mobile","Apparel","Free","Paid_Ad","Yes"
1693,"Mobile","Gaming","Basic","Organic","No"
948,"Mobile","Books","Basic","Organic","No"
2333,"Mobile","HomeGoods","Free","Organic","No"
162,"Mobile","HomeGoods","Basic","Social_Media","No"
2978,"Mobile","Electronics","Premium","Paid_Ad","Yes"
2003,"Desktop","Electronics","Free","Paid_Ad","Yes"
3128,"Mobile","Apparel","Basic","Social_Media","Yes"
3871,"Desktop","Electronics","Premium","Referral","No"
884,"Mobile","Electronics","Free","Social_Media","Yes"
3740,"Desktop","Apparel","Premium","Organic","Yes"
3616,"Mobile","Books","Basic","Organic","No"
377,"Mobile","Books","Basic","Social_Media","No"
1592,"Mobile","Books","Basic","Organic","No"
2871,"Desktop","Electronics","Free","Organic","No"
913,"Mobile","Electronics","Premium","Referral","Yes"
1082,"Mobile","HomeGoods","Basic","Referral","No"
3431,"Mobile","Gaming","Basic","Referral","Yes"
239,"Mobile","Gaming","Free","Paid_Ad","No"
